UBIGEO;DPTO_HECHO;PROV_HECHO;DIST_HECHO;AÑO;MES;CANTIDAD
230111;TACNA;TACNA;LA YARADA LOS PALOS;2024;2;4
040302;AREQUIPA;CARAVELI;ACARI;2024;3;6
090119;HUANCAVELICA;HUANCAVELICA;HUANDO;2024;2;3
080308;CUSCO;ANTA;PUCYURA;2024;3;2
250104;UCAYALI;CORONEL PORTILLO;MASISEA;2024;2;1
080708;CUSCO;CHUMBIVILCAS;VELILLE;2024;1;5
210901;PUNO;MOHO;MOHO;2024;1;4
210105;PUNO;PUNO;CAPACHICA;2024;3;2
150137;LIMA METROPOLITANA;LIMA;SANTA ANITA;2024;1;124
190307;PASCO;OXAPAMPA;VILLA RICA;2024;1;6
230301;TACNA;JORGE BASADRE;LOCUMBA;2024;3;3
150801;REGIÓN LIMA;HUAURA;HUACHO;2024;2;81
150806;REGIÓN LIMA;HUAURA;HUAURA;2024;2;26
021807;ÁNCASH;SANTA;SAMANCO;2024;1;1
150130;LIMA METROPOLITANA;LIMA;SAN BORJA;2024;1;51
180106;MOQUEGUA;MARISCAL NIETO;TORATA;2024;3;1
170302;MADRE DE DIOS;TAHUAMANU;IBERIA;2024;3;4
080304;CUSCO;ANTA;CHINCHAYPUJIO;2024;1;1
030601;APURÍMAC;CHINCHEROS;CHINCHEROS;2024;3;3
050501;AYACUCHO;LA MAR;SAN MIGUEL;2024;2;17
040302;AREQUIPA;CARAVELI;ACARI;2024;1;5
081210;CUSCO;QUISPICANCHI;OCONGATE;2024;1;7
080901;CUSCO;LA CONVENCION;SANTA ANA;2024;2;64
110402;ICA;PALPA;LLIPATA;2024;3;1
060102;CAJAMARCA;CAJAMARCA;ASUNCION;2024;2;4
120908;JUNÍN;CHUPACA;TRES DE DICIEMBRE;2024;3;3
150110;LIMA METROPOLITANA;LIMA;COMAS;2024;3;542
040302;AREQUIPA;CARAVELI;ACARI;2023;10;2
110501;ICA;PISCO;PISCO;2024;1;58
